trading_name,legal_business_name,licence_type,cca_code,address,administering_port
DogStar Brew Lab Limited,DogStar Brew Lab Limited,Manufacturing Area,14330J,"286 Princes Street, Dunedin",Dunedin
Double Cone Brewing Limited,Double Cone Brewing Limited,Manufacturing Area,11129F,"63 Hampshire Street, Kinston, Dunedin",Dunedin
Double Vision Brewing Co Limited,Double Vision Brewing Limited,Manufacturing Area,13296K,"Unit E, 128 Park Road, Miramar, Wellington",Wellington
Double Vision Brewing Co Limited,Double Vision Brewing Limited,Manufacturing Area,13301K,"Unit 1, 132 Park Road, Miramar, Wellington",Wellington
Dr Rudi's Rooftop Brewing Co,NZ Venue Co Limited,Manufacturing Area,13884D,"Level 2, 204 Quay Street, Auckland",Auckland
Duncans Brewing Co Limited,Duncans Brewing Company Limited,Manufacturing Area,9392A,"Unit B, 4 Sheffield Street, Paraparaumu",Wellington
Eddyline Brewery Limited,Eddyline Brewery Limited,Manufacturing Area,12490H,"15 Elms Street, Stoke, Nelson",Nelson
Emporium Brewing Limited,Emporium Brewing Limited (Emporium Brewing),Manufacturing Area,9375A,"Unit a, 57 Beach Road, Kaikoura",Christchurch
Eruption Brewing Limited,Eruption Brewing Limited (Eruption Brewing),Manufacturing Area,9914H,"26 London Street, Lyttelton",Christchurch
Fitzpatricks Brewing Co Limited,Fitzpatricks Brewing Co Limited,Manufacturing Area,8441H,"19 Keenan Road, Tauranga",Tauranga
Fresh Beer Brew Co,Fresh Beer Limited (Fresh Beer Brew Co),Manufacturing Area,10809L,"Unit A, 576 Te Atatu Road, Te Atatu Peninsula, Auckland",Auckland
Fresh Beer Brew Co,Fresh Beer Limited (Fresh Beer Brew Co),Manufacturing Area,14063F,"Shop 2, 255 Lincoln Road, Henderson, Auckland",Auckland
Gambit Brewing Company,Ben Christopher Gibson,Manufacturing Area,13446F,"44 Moore Street, Rolleston",Christchurch
Garage Project,Brewwell Limited,Manufacturing Area,10022G,"7 Leeds Street, Te Aro, Wellington",Wellington
Giant Brewing Company Limited,Giant Brewing Company Limited,Manufacturing Area,12836J,"6 Treachers Lane, Havelock North",Napier
Glenorchy Brew Co Limited,Glenorchy Brew Co Limited,Manufacturing Area,13097E,"60 Amphion Way, Glenorchy",Dunedin
Godsown Brewery Limited,Godsown Brewery Limited,Manufacturing Area,9059L,"3672 State Highway 50, Hastings",Napier
Golden Bear Brewery Limited,Golden Bear Brewing Limited,Manufacturing Area,8022F,"Unit 501, 6 Aranui Road, Port Mapua, Nelson",Nelson
Ground Up Brewing Limited,Ground Up Brewing Limited,Manufacturing Area,13415F,"4 Gordon Road, Wanaka",Dunedin
Grovetown Brewing Company Limited,Grovetown Brewing Company Limited,Manufacturing Area,14670G,"2468 State Highway 1, Grovetown, Blenheim",Nelson
Heaven's Brewery Limited,Heaven's Brewery Limited,Manufacturing Area,13905L,"2412 Matapouri Road, Hikurangi",Auckland
Hop Farm Brewery Limited,Hop Farm Brewery Limited,Manufacturing Area,8114A,"249 Wakefield-Kohatu Highway Wai-iti, Wakefield",Nelson
Hopnotic Brewery,Owen Swan (Hopnotic Brewery),Manufacturing Area,10036G,"400 Raynes Road, Tamahere, Hamilton",Tauranga
Hopscotch Beer Company,Hopscotch Liquor Limited (Hopscotch Beer Company),Manufacturing Area,12606D,"Unit A, 57 Wolverton Street, Avondale, Auckland",Auckland
Hopsession Brewing,Nathan Phillip McKenzie,Manufacturing Area,11335C,"84 St Andrew Street, Richmond, Invercargill",Dunedin
Kainui Brew Co,Kainui Brew Co Limited (Kainui Brew Co),Manufacturing Area,9174L,"2276C, State Highway 10, Waipapa",Auckland
Kainui Brew Co Limited,Kainui Brew Co Limited,Off-site Storage Area,10507E,"217 Waipapa West Road, Waipapa",Auckland
